"Statistic","Census Year","County","UNIT","Area farmed (AAU)","Commonage","Pasture","Hay","Grass silage","Total crops fruit and horticulture","Total cereals","Rough grazing in use","All grassland"
"Farms with Crops","2000","Co. Clare","Number","6722","","5452","3065","5183","490","30","2030","6700"
"Farms with Crops","2000","Co. Cork","Number","14231","","11929","4346","11295","4520","2570","4120","13882"
"Farms with Crops","2000","Co. Cavan","Number","5492","","4699","1712","4421","300","40","1080","5463"
"Farms with Crops","2000","Co. Carlow","Number","1882","","1545","793","1121","940","680","430","1802"
"Farms with Crops","2000","Co. Donegal","Number","8801","","6257","2482","4821","1330","730","4570","8734"
"Farms with Crops","2000","Co. Dublin","Number","902","","617","303","324","400","280","110","744"
"Farms with Crops","2000","Co. Galway","Number","13661","","11124","5107","9136","2040","620","4310","13605"
"Farms with Crops","2000","Co. Kildare","Number","2692","","2243","1196","1324","940","720","340","2554"
"Farms with Crops","2000","Co. Kilkenny","Number","3772","","3273","1780","2780","1330","1030","590","3659"
"Farms with Crops","2000","Co. Kerry","Number","8511","","6763","2759","6258","1000","180","3260","8457"
"Farms with Crops","2000","Co. Longford","Number","2752","","2468","1224","2097","190","40","430","2734"
"Farms with Crops","2000","Co. Louth","Number","1762","","1361","542","1030","690","580","220","1636"
"Farms with Crops","2000","Co. Limerick","Number","6192","","5403","2685","4596","440","90","840","6164"
"Farms with Crops","2000","Co. Leitrim","Number","3722","","3154","1789","2450","190","10","660","3718"
"Farms with Crops","2000","Co. Laois","Number","3402","","2853","1409","2434","1140","890","590","3314"
"Farms with Crops","2000","Co. Meath","Number","4462","","3820","1588","2867","920","590","360","4340"
"Farms with Crops","2000","Co. Monaghan","Number","4552","","3807","1014","3753","380","110","740","4518"
"Farms with Crops","2000","Co. Mayo","Number","12531","","10308","3133","9193","1260","160","3770","12497"
"Farms with Crops","2000","Co. Offaly","Number","3522","","3053","1536","2537","990","690","650","3464"
"Farms with Crops","2000","Co. Roscommon","Number","6432","","5596","3046","4671","470","90","1150","6421"
"Farms with Crops","2000","Co. Sligo","Number","4512","","3883","1555","3237","300","30","920","4490"
"Farms with Crops","2000","Co. Tipperary","Number","7762","","6756","3293","5807","1680","1030","1130","7626"
"Farms with Crops","2000","Co. Waterford","Number","2792","","2360","967","2020","720","440","680","2729"
"Farms with Crops","2000","Co. Wicklow","Number","2412","","2013","976","1408","680","480","720","2340"
"Farms with Crops","2000","Co. Westmeath","Number","3442","","3033","1385","2344","520","270","450","3411"
"Farms with Crops","2000","Co. Wexford","Number","4612","","3718","2014","2819","2860","2380","610","4316"
"Farms with Crops","2010","Co. Clare","Number","6550","","4731","1639","4316","120","10","2230","6491"
"Farms with Crops","2010","Co. Cork","Number","14220","","10023","2628","8975","2980","1960","4760","13791"
"Farms with Crops","2010","Co. Cavan","Number","5280","","3899","859","3429","130","10","1340","5207"
"Farms with Crops","2010","Co. Carlow","Number","1800","","1275","496","898","630","540","470","1701"
"Farms with Crops","2010","Co. Donegal","Number","9240","","6113","1094","3984","730","480","4530","9097"
"Farms with Crops","2010","Co. Dublin","Number","800","","442","174","222","320","230","210","694"
"Farms with Crops","2010","Co. Galway","Number","13450","","9788","2291","7277","710","380","4150","13189"
"Farms with Crops","2010","Co. Kildare","Number","2580","","1762","672","1021","750","630","510","2402"
"Farms with Crops","2010","Co. Kilkenny","Number","3740","","2684","1030","2302","960","750","920","3651"
"Farms with Crops","2010","Co. Kerry","Number","8410","","5966","1519","4582","370","130","3420","8303"
"Farms with Crops","2010","Co. Longford","Number","2600","","2034","598","1669","80","40","540","2558"
"Farms with Crops","2010","Co. Louth","Number","1680","","1044","366","818","590","490","380","1552"
"Farms with Crops","2010","Co. Limerick","Number","5990","","4469","1604","3568","230","50","1320","5839"
"Farms with Crops","2010","Co. Leitrim","Number","3670","","2827","779","1924","50","0","960","3631"
"Farms with Crops","2010","Co. Laois","Number","3310","","2368","813","1964","880","730","760","3178"
"Farms with Crops","2010","Co. Meath","Number","4570","","3235","998","2310","850","620","850","4306"
"Farms with Crops","2010","Co. Monaghan","Number","4570","","3322","523","3043","140","40","1010","4449"
"Farms with Crops","2010","Co. Mayo","Number","12460","","9457","1501","7127","280","70","3820","12363"
"Farms with Crops","2010","Co. Offaly","Number","3460","","2561","958","2125","740","570","760","3358"
"Farms with Crops","2010","Co. Roscommon","Number","6310","","4891","1543","3904","190","70","1450","6241"
"Farms with Crops","2010","Co. Sligo","Number","4400","","3411","692","2582","80","10","1110","4344"
"Farms with Crops","2010","Co. Tipperary","Number","7730","","5545","1757","4523","1210","870","1860","7474"
"Farms with Crops","2010","Co. Waterford","Number","2760","","1977","525","1612","560","340","790","2666"
"Farms with Crops","2010","Co. Wicklow","Number","2390","","1799","593","1204","500","350","690","2314"
"Farms with Crops","2010","Co. Westmeath","Number","3460","","2649","723","2018","350","210","710","3369"
"Farms with Crops","2010","Co. Wexford","Number","4430","","2981","1260","2380","2110","1800","1010","4222"
"Farms with Crops","2020","Co. Clare","Number","6297","","5153","1553","5073","613","6","1961","6292"
"Farms with Crops","2020","Co. Cork","Number","13704","","11242","2211","9902","2706","1439","3261","13534"
"Farms with Crops","2020","Co. Cavan","Number","5110","","4298","692","4097","","","1021","5101"
"Farms with Crops","2020","Co. Carlow","Number","1723","","1407","462","1050","599","483","308","1664"
"Farms with Crops","2020","Co. Donegal","Number","9347","","7008","1097","4713","961","260","4305","9316"
"Farms with Crops","2020","Co. Dublin","Number","699","","489","160","234","212","221","100","619"
"Farms with Crops","2020","Co. Galway","Number","12717","","10198","2256","8220","1930","243","3626","12701"
"Farms with Crops","2020","Co. Kildare","Number","2533","","1989","625","1233","576","590","271","2442"
"Farms with Crops","2020","Co. Kilkenny","Number","3573","","2998","820","2618","894","592","421","3527"
"Farms with Crops","2020","Co. Kerry","Number","8207","","6690","1500","5309","635","105","3079","8197"
"Farms with Crops","2020","Co. Longford","Number","2515","","2206","526","2003","500","24","458","2507"
"Farms with Crops","2020","Co. Louth","Number","1628","","1242","356","974","416","469","227","1541"
"Farms with Crops","2020","Co. Limerick","Number","5630","","4821","1473","4189","429","44","849","5618"
