Regions,Year,A_UAA,N_UAA,A_Arable_Land,A_Cereals,N_Arable_Land,N_Cereals,A_Horticulture_O,N_Horticulture_O,A_Horticulture_UG,A_Grassland_FP,N_Grassland_FP,Grazing_LS
PV20,2000,332202.56,8312,188329.62,85094.6,4214,3572,2192.26,524,14838.32,141532.3,6292,5390
PV20,2010,323618.52,6618,170457.72,86863.34,3102,2760,1696.94,324,12243.1,151341.42,5408,4356
PV20,2020,322719.77,4948,168464.28,70730.1,2728,2338,2089.84,338,11851.7,152047.13999999998,4168,2940
PV21,2000,462071.72,14104,46941.64,13663.22,1962,1306,2546.08,444,13920.04,412444.8,13210,12412
PV21,2010,458140.7,11380,44902.86,18881.2,1480,1094,2006.16,250,27760.86,410954.08,10802,10190
PV21,2020,448877.48,8272,42329.3,13160.66,1184,762,3096.18,274,25797.54,403194.02,7948,7374
PV22,2000,318528.04,9766,142640.94,43138.68,4556,3440,2469.86,584,53380.9,172883.42,7772,6688
PV22,2010,300649.38,7432,120335.54,37744.86,2780,2108,3809.3399999999997,404,38750.14,176117.0,6444,5336
PV22,2020,296677.74,5380,118609.5,25279.88,2326,1622,6201.88,448,35897.54,171507.38,4750,3494
PV23,2000,436719.82,22540,46586.72,19775.52,4874,3078,2768.66,822,20467.64,387159.76,21644,19102
PV23,2010,405485.7,17444,31954.46,14348.66,2466,1750,4028.64,648,27597.36,369226.62,16898,14738
PV23,2020,391771.75,12952,34433.46,11040.66,2598,1500,3786.08,644,30031.06,353251.88,12610,10352
PV24,2000,183272.34999999998,4634,138623.34,27296.18,3848,2716,11336.24,1258,33345.46,32979.32,1366,1292
PV24,2010,178610.96,3736,129878.46,34272.14,2906,2278,12514.82,876,36670.66,35850.98,1376,1048
PV24,2020,178828.57,3252,123233.18,28761.78,2584,1850,15160.02,1170,75964.74,39675.72,1672,838
PV25,2000,506391.25,33040,66006.46,35947.3,9122,5578,18039.44,4536,138054.46,420964.8,28832,24440
PV25,2010,476119.41000000003,23954,51315.88,31307.56,4776,3424,17424.82,3114,133185.44,406046.84,21238,18004
PV25,2020,451431.98,17114,47205.08,23086.9,4438,2732,19191.44,2740,133039.92,383705.06,15426,11986
PV26,2000,139673.72999999998,7578,3601.82,1600.62,710,280,4562.36,996,38495.94,131124.6,6752,6104
PV26,2010,133285.74,5732,2568.16,1541.96,424,260,4336.1,740,26140.38,126120.08,5212,4882
PV26,2020,140418.99,4592,2377.04,1366.84,442,234,5010.02,740,15883.96,132873.1,4218,3786
PV27,2000,273375.35000000003,14066,76338.26,21287.0,4490,2090,38591.1,5160,210100.72,156344.98,8112,6576
PV27,2010,261483.38,9876,63942.88,22162.82,2302,1494,39433.74,3050,183648.84,156270.28,6378,5260
PV27,2020,254859.82,6810,59546.6,17740.14,1960,1176,42303.34,2330,198671.6,151023.16,4736,3504
PV28,2000,290993.5,22384,89648.92,31180.12,5608,2566,21770.98,6212,1180080.04,167772.8,9734,8230
PV28,2010,268319.14,14280,78792.76,33571.34,2550,1936,16664.38,3434,1059354.38,162268.46,7294,6530
PV28,2020,233892.08,8812,68912.32,23759.0,1912,1310,14985.82,1968,972254.7,140271.4,4832,3958
PV29,2000,249767.11,8410,193045.28,66014.94,7158,5888,12535.92,2062,18642.92,43999.48,4666,3052
PV29,2010,235922.69,6420,173593.62,69712.14,4998,4310,12271.24,1378,40580.5,49652.02,3898,2378
PV29,2020,239060.51,5496,165423.28,58591.44,4358,3548,13403.08,1448,49658.9,59737.56,3914,1650
PV30,2000,540386.9,33642,183297.14,69081.2,16588,9432,25670.66,6388,221589.72,329203.2,26422,20482
PV30,2010,502807.52999999997,24904,139934.38,51864.06,9230,5074,37022.38,5054,290159.3,322949.18,20458,14500
PV30,2020,476633.17,17950,147042.56,43846.54,8758,4124,36267.66,4246,286502.0,290457.94,15362,9340
PV31,2000,217626.22,13412,93819.2,37415.96,8614,5384,19638.02,4190,161260.06,102556.4,9368,6568
PV31,2010,200195.66,9478,76464.88,35256.98,4914,3496,22937.38,2802,185407.86,98939.32,7138,4494
PV31,2020,193729.84,6986,76109.86,29727.98,4050,2778,24760.14,2690,180024.6,91059.58,5488,2946
