"ID";"FarmTypes";"Regions";"Periods";"UtilisedAgriculturalAreaUAA_3";"UtilisedAgriculturalAreaUAA_6";"ArableLandTotal_8";"Cereals_14";"ArableLandTotal_21";"Cereals_27";"HorticultureInTheOpenTotal_34";"HorticultureInTheOpenTotal_40";"HorticultureUnderGlassTotal_46";"HorticultureUnderGlassTotal_51";"GrasslandAndForagePlantsTotal_72";"GrasslandAndForagePlantsTotal_78";"CattleTotal_84";"Sheep_95";"GrazingLivestockTotal_102";"HousedAnimalsTotal_135"
"120";"T001061";"PV20  ";"2000JJ00";"16610128";"    4156";" 9416481";" 4254730";"    2107";"    1786";"  109613";"     262";"  741916";"      95";" 7076615";"    3146";"  180262";"  105654";"    2695";"     320"
"121";"T001061";"PV20  ";"2001JJ00";"16419061";"    3994";" 9294900";" 4304843";"    2045";"    1747";"  108775";"     240";"  636527";"      85";" 7009021";"    3010";"  185145";"  104385";"    2612";"     307"
"122";"T001061";"PV20  ";"2002JJ00";"16600242";"    3877";" 9340288";" 4278135";"    1999";"    1710";"  124339";"     235";"  668933";"      81";" 7128926";"    2912";"  181362";"   92934";"    2497";"     300"
"123";"T001061";"PV20  ";"2003JJ00";"16622248";"    3719";" 9232973";" 4243061";"    1908";"    1640";"  114624";"     209";"  621350";"      82";" 7268437";"    2806";"  179394";"   93098";"    2404";"     270"
"124";"T001061";"PV20  ";"2004JJ00";"16719827";"    3683";" 9141686";" 4281135";"    1861";"    1607";"  103354";"     204";"  634053";"      80";" 7468446";"    2796";"  180912";"   97603";"    2392";"     269"
"125";"T001061";"PV20  ";"2005JJ00";"16549387";"    3593";" 9074397";" 4181910";"    1799";"    1544";"   85989";"     196";"  680385";"      80";" 7382197";"    2745";"  177025";"  114652";"    2329";"     261"
"126";"T001061";"PV20  ";"2006JJ00";"16313063";"    3511";" 8834764";" 4259496";"    1809";"    1522";"   84861";"     189";"  608866";"      75";" 7387349";"    2698";"  176061";"  110174";"    2239";"     240"
"127";"T001061";"PV20  ";"2007JJ00";"16214376";"    3415";" 8647006";" 4243696";"    1714";"    1479";"   84817";"     179";"  617706";"      71";" 7476376";"    2675";"  177040";"  108555";"    2211";"     240"
"128";"T001061";"PV20  ";"2008JJ00";"16534045";"    3421";" 8755192";" 4710179";"    1697";"    1551";"   88634";"     175";"  627276";"      64";" 7683946";"    2726";"  190502";"  101825";"    2238";"     235"
"129";"T001061";"PV20  ";"2009JJ00";"16386447";"    3341";" 8594564";" 4405500";"    1606";"    1438";"   97151";"     189";"  656766";"      60";" 7688164";"    2702";"  194614";"   88397";"    2204";"     222"
"130";"T001061";"PV20  ";"2010JJ00";"16180926";"    3309";" 8522886";" 4343167";"    1551";"    1380";"   84847";"     162";"  612155";"      55";" 7567071";"    2704";"  193213";"   87801";"    2178";"     223"
"131";"T001061";"PV20  ";"2011JJ00";"16054995";"    3235";" 8466730";" 4172028";"    1511";"    1326";"   91609";"     169";"  546314";"      49";" 7491193";"    2654";"  190121";"   86616";"    2123";"     214"
"132";"T001061";"PV20  ";"2012JJ00";"16178656";"    3189";" 8367657";" 4191687";"    1507";"    1325";"   90624";"     152";"  528393";"      46";" 7715091";"    2628";"  194213";"   89079";"    2088";"     200"
"133";"T001061";"PV20  ";"2013JJ00";"16308716";"    3172";" 8552326";" 4184648";"    1506";"    1312";"   91465";"     149";"  560011";"      45";" 7659325";"    2614";"  203355";"   84149";"    2063";"     201"
"134";"T001061";"PV20  ";"2014JJ00";"16294769";"    3098";" 8384127";" 4034944";"    1425";"    1249";"   96400";"     149";"  630933";"      45";" 7807933";"    2579";"  208746";"   83658";"    1998";"     191"
"135";"T001061";"PV20  ";"2015JJ00";"16228160";"    2995";" 8292762";" 4200692";"    1379";"    1235";"  108531";"     165";"  641767";"      42";" 7820449";"    2553";"  213633";"   74241";"    1882";"     189"
"136";"T001061";"PV20  ";"2016JJ00";"16015033";"    2594";" 8279244";" 3905372";"    1346";"    1179";"  104670";"     169";"  601958";"      33";" 7625099";"    2171";"  220067";"   63424";"    1541";"     181"
"137";"T001061";"PV20  ";"2017JJ00";"16098678";"    2564";" 8400966";" 3620251";"    1347";"    1160";"  114451";"     170";"  549852";"      30";" 7577762";"    2152";"  207576";"   66301";"    1528";"     175"
"138";"T001061";"PV20  ";"2018JJ00";"16268920";"    2529";" 8522982";" 3635021";"    1368";"    1185";"  113572";"     176";"  533700";"      24";" 7627029";"    2130";"  196789";"   69279";"    1511";"     163"
"139";"T001061";"PV20  ";"2019JJ00";"16191003";"    2499";" 8568529";" 3794607";"    1373";"    1192";"  114691";"     179";"  591598";"      35";" 7501867";"    2094";"  191377";"   73699";"    1490";"     179"
"140";"T001061";"PV20  ";"2020JJ00";"16135989";"    2474";" 8423214";" 3536505";"    1364";"    1169";"  104492";"     169";"  592585";"      40";" 7602357";"    2084";"  192831";"   69705";"    1470";"     169"
